Combination,Mean Error,Mean Squared Error
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Cites(2 yrs) ,0.44367274147574404,1.072110900002066
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. Ref ,0.854873063002741,1.7063524226687277
SJR Total Docs(2017) Total Docs(3yrs) Total Refs. ,0.8624996099404716,1.7525835657849889
SJR Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4320798204110255,1.0316326082972525
SJR Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.4387466022751178,1.0443439047163345
SJR Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7863362834902651,1.7230795831183325
SJR Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) ,0.7955128986627144,1.7619471561335531
SJR Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Cites(2 yrs) Ref ,0.4357367101547387,1.0504557115800328
SJR Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Cites(2 yrs) ,0.4448908705683315,1.0748036566841717
SJR Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) Ref ,0.7970463755026446,1.734385525675177
SJR Total Docs(2017) Total Docs(3yrs) Total cites(3yrs) ,0.8011238414307607,1.7591866009196422
SJR Total Docs(2017) Total Docs(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.43143387206559497,1.0366086584071228
SJR Total Docs(2017) Total Docs(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.43785056153326574,1.0543014575325202
SJR Total Docs(2017) Total Docs(3yrs) Citable Docs(3 yrs) Ref ,0.8569866556232161,1.6190217534846603
SJR Total Docs(2017) Total Docs(3yrs) Citable Docs(3 yrs) ,0.8660949058033203,1.6848057612794527
SJR Total Docs(2017) Total Docs(3yrs) Cites(2 yrs) Ref ,0.43585718336290413,1.049832965301869
SJR Total Docs(2017) Total Docs(3yrs) Cites(2 yrs) ,0.444686101611652,1.0761055697865087
SJR Total Docs(2017) Total Docs(3yrs) Ref ,0.8508414986078755,1.6676223980461087
SJR Total Docs(2017) Total Docs(3yrs) ,0.8564323073455491,1.7104973517656745
SJR Total Docs(2017) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4360667694785529,1.0486802073792167
SJR Total Docs(2017) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.44457693194424697,1.0658787592746202
SJR Total Docs(2017) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7956954237034172,1.8253540708896503
SJR Total Docs(2017) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) ,0.8010278628029857,1.8457598110864362
SJR Total Docs(2017) Total Refs. Total cites(3yrs) Cites(2 yrs) Ref ,0.43619745786450753,1.047796484745242
SJR Total Docs(2017) Total Refs. Total cites(3yrs) Cites(2 yrs) ,0.4444328880461069,1.0673102832123915
SJR Total Docs(2017) Total Refs. Total cites(3yrs) Ref ,0.8000678571137246,1.7953635298164452
SJR Total Docs(2017) Total Refs. Total cites(3yrs) ,0.8098351135894011,1.8291794966238832
SJR Total Docs(2017) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.43593045446491263,1.0496299494040002
SJR Total Docs(2017) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) ,0.44373608557169403,1.071917668404055
SJR Total Docs(2017) Total Refs. Citable Docs(3 yrs) Ref ,0.8567480290223665,1.705912484094931
SJR Total Docs(2017) Total Refs. Citable Docs(3 yrs) ,0.8645905476819516,1.7515114060028025
SJR Total Docs(2017) Total Refs. Cites(2 yrs) Ref ,0.4358738768219987,1.0488720007328893
SJR Total Docs(2017) Total Refs. Cites(2 yrs) ,0.4437106371111544,1.0705505821444607
SJR Total Docs(2017) Total Refs. Ref ,0.8556354699086257,1.7063765436265255
SJR Total Docs(2017) Total Refs. ,0.8629068175181545,1.7525013631434787
SJR Total Docs(2017) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4361354497009044,1.048556159152744
SJR Total Docs(2017) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.4451627635079623,1.0708499845745243
SJR Total Docs(2017) Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7931801157025269,1.7358548959610347
SJR Total Docs(2017) Total cites(3yrs) Citable Docs(3 yrs) ,0.7978814301142523,1.7638531368447472
SJR Total Docs(2017) Total cites(3yrs) Cites(2 yrs) Ref ,0.4362882558251421,1.0476293505619911
SJR Total Docs(2017) Total cites(3yrs) Cites(2 yrs) ,0.44501061803755215,1.073719179077198
SJR Total Docs(2017) Total cites(3yrs) Ref ,0.7929946030647392,1.6854403034746868
SJR Total Docs(2017) Total cites(3yrs) ,0.8008438111253118,1.7141793621572963
SJR Total Docs(2017) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4359720550391995,1.049630498416236
SJR Total Docs(2017) Citable Docs(3 yrs) Cites(2 yrs) ,0.4446654020028531,1.0754065031057836
SJR Total Docs(2017) Citable Docs(3 yrs) Ref ,0.85296035545718,1.670134158759715
SJR Total Docs(2017) Citable Docs(3 yrs) ,0.8593430418177156,1.713893519636316
SJR Total Docs(2017) Cites(2 yrs) Ref ,0.43595006014625093,1.048751450387446
SJR Total Docs(2017) Cites(2 yrs) ,0.4446372085645881,1.0751723023675017
SJR Total Docs(2017) Ref ,0.8500508608097441,1.6665113659791495
SJR Total Docs(2017) ,0.8554579243788728,1.709348875297268
SJR Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.43151599941903807,1.0340977421530722
SJR Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.43935438791069353,1.0516127695172044
SJR Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) Ref ,0.7835014664659118,1.7555096552262002
SJR Total Docs(3yrs) Total Refs. Total cites(3yrs) Citable Docs(3 yrs) ,0.7926038140709362,1.7706470922944058
SJR Total Docs(3yrs) Total Refs. Total cites(3yrs) Cites(2 yrs) Ref ,0.4354784369203136,1.0529200962652139
SJR Total Docs(3yrs) Total Refs. Total cites(3yrs) Cites(2 yrs) ,0.44566406950627163,1.0805477648758899
SJR Total Docs(3yrs) Total Refs. Total cites(3yrs) Ref ,0.7951502471009904,1.7835364537084317
SJR Total Docs(3yrs) Total Refs. Total cites(3yrs) ,0.7995148593543374,1.7988979368158866
SJR Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4310685584370729,1.0379324538580799
SJR Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Cites(2 yrs) ,0.4386874676339031,1.060800666807143
SJR Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) Ref ,0.8557016680244075,1.619739032482334
SJR Total Docs(3yrs) Total Refs. Citable Docs(3 yrs) ,0.8627297916146344,1.661911956010907
SJR Total Docs(3yrs) Total Refs. Cites(2 yrs) Ref ,0.435752480595563,1.0515690251540177
SJR Total Docs(3yrs) Total Refs. Cites(2 yrs) ,0.4454211322737046,1.0819432264997408
SJR Total Docs(3yrs) Total Refs. Ref ,0.8502691229325232,1.6780348583450884
SJR Total Docs(3yrs) Total Refs. ,0.8530143412141368,1.7063224028430666
SJR Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) Ref ,0.4320504124964841,1.0365533542998302
SJR Total Docs(3yrs) Total cites(3yrs) Citable Docs(3 yrs) Cites(2 yrs) ,0.4393207228403494,1.051327905564971
